tag_number_masked,date_of_infraction,infraction_code,infraction_description,set_fine_amount,time_of_infraction,location1,location2,location3,location4,province
***73863,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0003,OPP,233 COLERIDGE AVE,,,ON
***46942,20220101,15,PARK-WITHIN 3M OF FIRE HYDRANT,100,0005,NR,25 TOWN CENTRE CRT,,,ON
***73864,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0005,NR,252 COLERIDGE AVE,,,MA
***63914,20220101,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,0006,NR,70 DAN LECKIE WAY,,,ON
***73865,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0006,NR,262 COLERIDGE AVE,,,ON
***63915,20220101,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,0008,NR,70 DAN LECKIE WAY,,,ON
***46943,20220101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0009,NR,55 TOWN CENTRE CRT,,,ON
***63916,20220101,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,0009,NR,70 DAN LECKIE WAY,,,ON
***46944,20220101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0010,OPP,55 TOWN CENTRE CRT,,,ON
***63917,20220101,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,0010,NR,70 DAN LECKIE WAY,,,ON
***65183,20220101,367,STND ONSTRT ACCESSIBLE NO PRMT,450,0011,NR,40 ORCHARD VIEW BLVD,,,ON
***63918,20220101,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,0011,NR,72 DAN LECKIE WAY,,,ON
***30061,20220101,3,PARK ON PRIVATE PROPERTY,30,0016,AT,2 COOPER ST,,,ON
***30062,20220101,3,PARK ON PRIVATE PROPERTY,30,0016,AT,2 COOPER ST,,,ON
***30063,20220101,3,PARK ON PRIVATE PROPERTY,30,0017,AT,2 COOPER ST,,,ON
***30064,20220101,3,PARK ON PRIVATE PROPERTY,30,0018,AT,2 COOPER ST,,,ON
***30065,20220101,3,PARK ON PRIVATE PROPERTY,30,0018,AT,2 COOPER ST,,,MB
***65184,20220101,15,PARK-WITHIN 3M OF FIRE HYDRANT,100,0018,NR,44 LILLIAN ST,,,ON
***84491,20220101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0018,OPP,61 RAWLINSON AVE,,,ON
***30066,20220101,3,PARK ON PRIVATE PROPERTY,30,0019,AT,2 COOPER ST,,,ON
***64757,20220101,8,STAND VEH.-PROHIBIT TIME/DAY,100,0019,NR,1078 LANSDOWNE AVE,,,ON
***84492,20220101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0019,OPP,61 RAWLINSON AVE,,,QC
***30067,20220101,3,PARK ON PRIVATE PROPERTY,30,0020,AT,2 COOPER ST,,,NY
***30068,20220101,3,PARK ON PRIVATE PROPERTY,30,0020,AT,2 COOPER ST,,,ON
***30069,20220101,3,PARK ON PRIVATE PROPERTY,30,0021,AT,2 COOPER ST,,,ON
***30070,20220101,3,PARK ON PRIVATE PROPERTY,30,0021,AT,2 COOPER ST,,,ON
***35902,20220101,3,PARK ON PRIVATE PROPERTY,30,0022,AT,2 COOPER ST,,,ON
***63919,20220101,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,0022,NR,20 BRUNEL CRT,,,ON
***35903,20220101,3,PARK ON PRIVATE PROPERTY,30,0023,AT,2 COOPER ST,,,QC
